"Match.Id","Round.Id","Competition.Id","Venue","Local.Start.Time","Round.Number","Round.Abbreviation","Weather.Type","Weather.Description","Temperature","team","goals","behinds","points_for","behinds_left","behinds_right","posters_left","posters_right","behinds_rushed","behinds_touched","points_against","home_or_away","score_margin","match_outcome","team_abbr","team_id","team_nickname","bounces","clangers","clearances_centre","clearances_stoppage","clearances_total","marks_contested","possessions_contested","disposals_efficiency","disposals","dream_team_points","frees_against","frees_for","goal_accuracy","goal_assists","goal_efficiency","handballs","hitouts","inside50s","intercepts","kicks","marks","marks_inside50","one_percenters","rebound50s","shot_efficiency","shots_at_goal","tackles","tackles_inside50","possessions_total","turnovers","possessions_uncontested"
"CD_M20172640101","CD_R201726401","CD_S2017264","Ikon Park",2017-02-03 19:45:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Carlton",7,4,46,1,2,0,0,1,0,11,"Home",35,"Win","CARL","CD_T8096","Blues",4,44,1,16,17,7,106,60.6,198,847,20,9,58.3,4,28,86,30,25,56,112,26,6,15,25,48,12,59,15,197,47,91
"CD_M20172640101","CD_R201726401","CD_S2017264","Ikon Park",2017-02-03 19:45:00,1,"Rd 1","CLEAR_NIGHT","Clear",18,"Collingwood",1,5,11,0,3,0,1,1,0,46,"Away",-35,"Loss","COLL","CD_T8097","Magpies",3,37,4,15,19,4,94,52.8,163,926,9,20,16.7,0,3.7,48,28,27,48,115,35,4,23,18,22.2,6,87,8,163,57,69
"CD_M20172640102","CD_R201726401","CD_S2017264","Thebarton Oval",2017-02-04 16:35:00,1,"Rd 1","RAIN","Rain at times",18,"Adelaide Crows",7,6,48,2,2,0,0,2,0,12,"Home",36,"Win","ADEL","CD_T8098","Crows",0,46,5,9,14,5,108,51.9,185,825,23,21,46.7,3,30.4,66,23,23,56,119,31,8,15,19,65.2,15,55,9,186,52,78
"CD_M20172640102","CD_R201726401","CD_S2017264","Thebarton Oval",2017-02-04 16:35:00,1,"Rd 1","RAIN","Rain at times",18,"GWS Giants",1,6,12,1,4,0,0,1,0,48,"Away",-36,"Loss","GWS","CD_T7889","Giants",0,45,7,13,20,2,92,46.1,165,783,21,23,10,1,4.8,52,9,21,52,113,37,6,13,15,47.6,10,62,9,169,55,77
"CD_M20172640103","CD_R201726401","CD_S2017264","VU Whitten Oval",2017-02-04 19:40:00,1,"Rd 1","RAIN","Partly cloudy",18,"Western Bulldogs",6,8,44,2,4,0,0,2,0,12,"Home",32,"Win","WB","CD_T7387","Bulldogs",5,29,6,24,30,1,96,57.4,190,853,10,17,35.3,6,21.4,80,33,28,46,110,21,7,20,13,60.7,17,59,13,188,48,92
"CD_M20172640103","CD_R201726401","CD_S2017264","VU Whitten Oval",2017-02-04 19:40:00,1,"Rd 1","RAIN","Partly cloudy",18,"Fremantle",1,6,12,2,3,0,0,1,0,44,"Away",-32,"Loss","FRE","CD_T7886","Freo",4,39,3,11,14,2,74,56.4,156,680,17,10,12.5,1,6.7,54,14,15,50,102,35,3,20,22,53.3,8,44,2,151,46,77
"CD_M20172640104","CD_R201726401","CD_S2017264","Casey Fields",2017-02-05 17:05:00,1,"Rd 1","RAIN","Rain Possible storm",18,"Melbourne",1,4,10,1,2,0,0,1,0,25,"Home",-15,"Loss","MELB","CD_T7386","Demons",1,51,5,23,28,0,113,45.7,173,711,20,16,11.1,0,3.3,63,27,30,50,110,10,0,24,14,30,9,58,11,176,54,63
"CD_M20172640104","CD_R201726401","CD_S2017264","Casey Fields",2017-02-05 17:05:00,1,"Rd 1","RAIN","Rain Possible storm",18,"Brisbane Lions",4,1,25,1,0,0,0,0,0,10,"Away",15,"Win","BL","CD_T7887","Lions",1,41,3,18,21,3,95,50,172,806,16,20,57.1,1,21.1,53,17,19,54,119,27,3,19,27,36.8,7,62,13,165,50,70
"CD_M20172640201","CD_R201726402","CD_S2017264","VU Whitten Oval",2017-02-10 19:35:00,2,"Rd 2","CLEAR_NIGHT","Clear",18,"Western Bulldogs",2,11,23,2,5,0,0,3,1,48,"Home",-25,"Loss","WB","CD_T7387","Bulldogs",4,50,3,13,16,5,88,62.8,180,657,30,15,18.2,1,7.4,82,18,27,46,98,27,5,37,20,40.7,11,38,6,185,41,97
"CD_M20172640201","CD_R201726402","CD_S2017264","VU Whitten Oval",2017-02-10 19:35:00,2,"Rd 2","CLEAR_NIGHT","Clear",18,"Adelaide Crows",7,6,48,2,2,0,0,2,0,23,"Away",25,"Win","ADEL","CD_T8098","Crows",3,37,6,13,19,7,94,61.9,160,764,15,30,50,3,25,36,19,28,42,124,28,8,28,24,50,14,46,16,156,44,62
